"sujeto","grupo","cheat","ncorrectret","percevaded","safechoices","period","offerdg","auditrate","taxrate","profitret","perform_high","treatment_lab","treatment2_lab","realdie","die_type"
649,162,1,13,1,4,8,350,0,10,1950,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,164,1,9,1,4,5,350,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,163,1,12,1,4,7,350,0,10,1800,0,"Non-fixed","Non-fixed",5,"Incentivized die"
649,164,1,9,1,4,6,350,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
650,163,1,12,0.972222208976746,5,8,300,0,10,1800,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,161,1,11,0.939393937587738,5,6,300,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,163,1,10,0.933333337306976,5,4,300,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,162,1,11,0.909090936183929,5,7,300,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,162,1,9,0.851851880550385,5,2,300,0,10,1350,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,161,1,10,0.993333339691162,5,10,300,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,161,1,6,0.944444417953491,5,5,300,0,10,900,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,162,1,10,0.666666686534882,5,1,300,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,162,1,9,0.92592591047287,5,3,300,0,10,1350,0,"Non-fixed","Non-fixed",6,"Incentivized die"
650,162,1,11,0.993939399719238,5,9,300,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
651,163,1,14,1,5,7,500,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,163,1,14,1,5,1,500,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,161,1,14,1,5,4,500,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,164,1,12,1,5,9,500,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,163,1,14,1,5,10,500,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,164,1,15,1,5,6,500,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,163,1,15,1,5,8,500,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,164,1,16,1,5,2,500,0,10,2400,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,161,1,12,1,5,3,500,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
651,161,1,15,1,5,5,500,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
652,164,1,13,1,4,2,500,0,10,1950,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,162,1,11,1,4,1,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,164,1,11,1,4,4,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,161,1,11,1,4,8,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,164,1,13,1,4,10,500,0,10,1950,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,162,1,7,1,4,3,500,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,163,1,11,1,4,5,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,161,1,8,1,4,7,500,0,10,1200,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,164,1,12,1,4,6,500,0,10,1800,0,"Non-fixed","Non-fixed",6,"Incentivized die"
652,161,1,11,1,4,9,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,162,1,8,1,9,5,500,0,10,1200,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,163,1,7,1,9,2,500,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,163,1,6,1,9,7,500,0,10,900,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,163,1,5,1,9,4,500,0,10,750,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,161,1,10,1,9,9,500,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,161,1,9,1,9,8,500,0,10,1350,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,161,1,5,1,9,6,500,0,10,750,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,164,1,10,1,9,10,500,0,10,1500,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,164,1,11,1,9,3,500,0,10,1650,0,"Non-fixed","Non-fixed",6,"Incentivized die"
653,164,1,7,1,9,1,500,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
654,164,1,12,1,4,5,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,164,1,10,1,4,3,0,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,163,1,13,1,4,10,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,161,1,13,1,4,1,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,163,1,13,1,4,9,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,161,1,12,1,4,8,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,162,1,16,1,4,2,0,0,10,2400,1,"Non-fixed","Non-fixed",6,"Incentivized die"
654,164,1,14,1,4,7,0,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
